id,discipline_semester_id,student_id,need_to_study
345000,14094,11162,true
345001,14095,11162,true
345002,14096,11162,true
345003,14097,11162,true
345004,14098,11162,true
345005,14099,11162,true
345006,14100,11162,true
345007,14101,11162,true
363113,16784,11162,true
363135,16785,11162,true
363157,16786,11162,true
363179,16787,11162,true
363201,16788,11162,true
363223,16789,11162,true
363245,16790,11162,false
363267,16791,11162,true
398541,17538,11191,true
398542,17539,11191,true
398543,17540,11191,true
398544,17541,11191,true
398545,17542,11191,true
398614,17570,11202,true
398615,17571,11202,true
398616,17572,11202,true
398617,17573,11202,true
398618,17574,11202,true
398619,17575,11202,false
398620,17576,11202,true
398621,17577,11202,true
398958,16488,11246,true
398959,16490,11246,true
398960,16484,11246,true
398961,16485,11246,true
398962,16486,11246,true
398963,16487,11246,true
398964,16489,11246,true
399440,16657,11269,true
399441,16656,11269,true
399442,16658,11269,true
399443,16654,11269,true
399444,16655,11269,true
399445,16653,11269,true
399446,16659,11269,false
399447,16660,11269,true
399448,16657,11270,true
399449,16656,11270,true
399450,16658,11270,true
399451,16654,11270,true
399452,16655,11270,true
399453,16653,11270,true
399455,16660,11270,true
399454,16659,11270,false
400018,16570,11285,true
400019,16572,11285,true
400020,16573,11285,true
400021,16574,11285,true
400022,16568,11285,true
400023,16569,11285,true
400024,16571,11285,true
400161,17543,11287,true
400162,17544,11287,true
400163,17545,11287,true
400164,17546,11287,true
400165,17547,11287,true
401995,18334,11191,true
402034,18335,11287,true
405377,18471,11191,true
405416,18472,11287,true
420190,19149,11246,true
420219,19150,11246,true
420248,19151,11246,true
420277,19152,11246,true
420306,19153,11246,true
420335,19154,11246,true
420364,19155,11246,true
420393,19156,11246,true
420421,19157,11863,true
420422,19157,11862,true
420423,19157,11861,true
420424,19157,11860,true
420425,19157,11859,true
420426,19157,11858,true
420427,19157,11857,true
420428,19157,11856,true
420429,19157,11855,true
420430,19157,11854,true
420431,19157,11853,true
420432,19157,11852,true
420433,19157,11851,true
420434,19157,11850,true
420435,19157,11849,true
420436,19157,11848,true
420437,19157,11847,true
420438,19157,11846,true
420439,19157,11845,true
420440,19157,11844,true
420441,19158,11863,true
420442,19158,11862,true
420443,19158,11861,true
420444,19158,11860,true
420445,19158,11859,true
420446,19158,11858,true
420447,19158,11857,true
420448,19158,11856,true
420449,19158,11855,true
420450,19158,11854,true
420451,19158,11853,true
420452,19158,11852,true
420453,19158,11851,true
420454,19158,11850,true
420455,19158,11849,true
420456,19158,11848,true
420457,19158,11847,true
420458,19158,11846,true
420459,19158,11845,true
420460,19158,11844,true
420461,19159,11863,true
420462,19159,11862,true
420463,19159,11861,true
420464,19159,11860,true
420465,19159,11859,true
420466,19159,11858,true
420467,19159,11857,true
420468,19159,11856,true
420469,19159,11855,true
420470,19159,11854,true
420471,19159,11853,true
420472,19159,11852,true
420473,19159,11851,true
420474,19159,11850,true
420475,19159,11849,true
420476,19159,11848,true
420477,19159,11847,true
420478,19159,11846,true
420479,19159,11845,true
420480,19159,11844,true
420481,19160,11863,true
420482,19160,11862,true
420483,19160,11861,true
420484,19160,11860,true
420485,19160,11859,true
420486,19160,11858,true
420487,19160,11857,true
420488,19160,11856,true
420489,19160,11855,true
420490,19160,11854,true
420491,19160,11853,true
420492,19160,11852,true
420493,19160,11851,true
420494,19160,11850,true
420495,19160,11849,true
420496,19160,11848,true
420497,19160,11847,true
420498,19160,11846,true
420499,19160,11845,true
420500,19160,11844,true
420501,19161,11863,true
420502,19161,11862,true
420503,19161,11861,true
420504,19161,11860,true
420505,19161,11859,true
420506,19161,11858,true
420507,19161,11857,true
420508,19161,11856,true
420509,19161,11855,true
420510,19161,11854,true
420511,19161,11853,true
420512,19161,11852,true
420513,19161,11851,true
420514,19161,11850,true
420515,19161,11849,true
420516,19161,11848,true
420517,19161,11847,true
420518,19161,11846,true
420519,19161,11845,true
420520,19161,11844,true
420521,19162,11863,true
420522,19162,11862,true
420523,19162,11861,true
420524,19162,11860,true
420525,19162,11859,true
420526,19162,11858,true
420527,19162,11857,true
420528,19162,11856,true
420529,19162,11855,true
420530,19162,11854,true
420531,19162,11853,true
420532,19162,11852,true
420533,19162,11851,true
420534,19162,11850,true
420535,19162,11849,true
420536,19162,11848,true
420537,19162,11847,true
420538,19162,11846,true
420539,19162,11845,true
420540,19162,11844,true
420541,19163,11863,true
420542,19163,11862,true
420543,19163,11861,true
420544,19163,11860,true
420545,19163,11859,true
420546,19163,11858,true
420547,19163,11857,true
420548,19163,11856,true
420549,19163,11855,true
420550,19163,11854,true
420551,19163,11853,true
420552,19163,11852,true
420553,19163,11851,true
420554,19163,11850,true
420555,19163,11849,true
420556,19163,11848,true
420557,19163,11847,true
420558,19163,11846,true
420559,19163,11845,true
420560,19163,11844,true
420563,19164,11861,false
420564,19164,11860,false
420566,19164,11858,false
420569,19164,11855,false
420571,19164,11853,false
420575,19164,11849,false
420579,19164,11845,true
420578,19164,11846,true
420576,19164,11848,true
420574,19164,11850,true
420573,19164,11851,true
420572,19164,11852,true
420570,19164,11854,true
420568,19164,11856,true
420567,19164,11857,true
420565,19164,11859,true
420562,19164,11862,true
420561,19164,11863,true
421898,19232,11285,true
421926,19233,11285,true
421954,19234,11285,true
421982,19235,11285,true
422010,19236,11285,true
422038,19237,11285,true
422066,19238,11285,true
422094,19239,11285,true
422101,19240,11922,true
422102,19240,11921,true
422103,19240,11920,true
422104,19240,11919,true
422105,19240,11918,true
422106,19240,11917,true
422107,19240,11916,true
422108,19240,11915,true
422109,19240,11914,true
422110,19240,11913,true
422111,19240,11912,true
422112,19240,11911,true
422113,19240,11910,true
422114,19240,11909,true
422115,19240,11908,true
422116,19240,11907,true
422117,19240,11906,true
422118,19240,11905,true
422119,19240,11904,true
422120,19240,11903,true
422121,19240,11902,true
422122,19240,11901,true
422123,19240,11900,true
422124,19240,11899,true
422125,19240,11898,true
422126,19240,11897,true
422127,19240,11896,true
422128,19240,11895,true
422129,19240,11894,true
422130,19240,11893,true
422131,19240,11892,true
422132,19240,11891,true
422133,19240,11890,true
422134,19240,11889,true
422135,19241,11922,true
422136,19241,11921,true
422137,19241,11920,true
422138,19241,11919,true
422139,19241,11918,true
422140,19241,11917,true
422141,19241,11916,true
422142,19241,11915,true
422143,19241,11914,true
422144,19241,11913,true
422145,19241,11912,true
422146,19241,11911,true
422147,19241,11910,true
422148,19241,11909,true
422149,19241,11908,true
422150,19241,11907,true
422151,19241,11906,true
422152,19241,11905,true
422153,19241,11904,true
422154,19241,11903,true
422155,19241,11902,true
422156,19241,11901,true
422157,19241,11900,true
422158,19241,11899,true
422159,19241,11898,true
422160,19241,11897,true
422161,19241,11896,true
422162,19241,11895,true
422163,19241,11894,true
422164,19241,11893,true
422165,19241,11892,true
422166,19241,11891,true
422167,19241,11890,true
422168,19241,11889,true
422169,19242,11922,true
422170,19242,11921,true
422171,19242,11920,true
422172,19242,11919,true
422173,19242,11918,true
422174,19242,11917,true
422175,19242,11916,true
422176,19242,11915,true
422177,19242,11914,true
422178,19242,11913,true
422179,19242,11912,true
422180,19242,11911,true
422181,19242,11910,true
422182,19242,11909,true
422183,19242,11908,true
422184,19242,11907,true
422185,19242,11906,true
422186,19242,11905,true
422187,19242,11904,true
422188,19242,11903,true
422189,19242,11902,true
422190,19242,11901,true
422191,19242,11900,true
422192,19242,11899,true
422193,19242,11898,true
422194,19242,11897,true
422195,19242,11896,true
422196,19242,11895,true
422197,19242,11894,true
422198,19242,11893,true
422199,19242,11892,true
422200,19242,11891,true
422201,19242,11890,true
422202,19242,11889,true
422203,19243,11922,true
422204,19243,11921,true
